,name,gene_reaction_rule,subunit_num,subunit_mw
RNDR1b_num3,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 2 and 2 and 1 ),36.44279270000005 and 80.47805370000044 and 9.137398599999994
RNDR1b_num4,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 2 and 2 and 2 ) ,36.44279270000005 and 80.47805370000044 and 12.878616699999995
RNDR2b_num1,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 2 and 2 and 2 ),( 36.44279270000005 and 80.47805370000044 and 12.878616699999995 )
RNDR2b_num2,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 1 and 2 and 2 ),9.684737199999997 and 36.44279270000005 and 80.47805370000044
RNDR2b_num3,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 2 and 2 and 1 ),36.44279270000005 and 80.47805370000044 and 24.349920300000008
RNDR2b_num4,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 2 and 2 and 1 ) ,36.44279270000005 and 80.47805370000044 and 9.137398599999994
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),b0452,4,31.965918600000045
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),b0452,4,31.965918600000045
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),b0452,4,31.965918600000045
AAMYL,Alpha-amylase,b1927,1,56.6386894000001
AAMYLpp,Alpha-amylase (periplasm),b3571,1,75.71174130000031
FACOAL80t2pp_num1,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1805,2,62.3312346000001
FACOAL80t2pp_num2,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1701,1 ,62.75864560000017
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",b3650,1,79.3415360000004
CPGNabcpp,Coprogen transport via ABC system (periplasm),b0153 and b0151 and b0152,1 and 2 and 1 ,70.42220310000039 and 28.886095300000015 and 32.99795500000005
CITtex_num1,Citrate transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
CITtex_num2,Citrate transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
CITtex_num3,Citrate transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
CITtex_num4,Citrate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
ACGAtex_num1,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
ACGAtex_num2,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
ACGAtex_num3,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
ACGAtex_num4,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54096350000007
TTDCAtexi,Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54096350000007
HDCAtexi,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54096350000007
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",b4213,1,70.83132160000036
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",b4213,1,70.83132160000036
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",b4213,1,70.83132160000036
SARCOX,Sarcosine oxidase,b1059,1,40.90149610000005
MN6PP_num1,Mannose 6-phosphate phosphatase,b3697,1,29.720789200000006
MN6PP_num2,Mannose 6-phosphate phosphatase,b0822,1,30.412456100000025
MN6PP_num3,Mannose 6-phosphate phosphatase,b1727,1,24.3299677
MN6PP_num4,Mannose 6-phosphate phosphatase,b3826,1 ,29.707394199999996
3KGK,3-keto-L-gulonate kinase,b3580,2,55.154228400000136
F6PP_num1,D-fructose 6-phosphate phosphatase,b2293,1,23.00723959999999
F6PP_num2,D-fructose 6-phosphate phosphatase,b3697,1,29.720789200000006
F6PP_num3,D-fructose 6-phosphate phosphatase,b0822,1,30.412456100000025
F6PP_num4,D-fructose 6-phosphate phosphatase,b2690,1,20.77957939999998
F6PP_num5,D-fructose 6-phosphate phosphatase,b3826,1 ,29.707394199999996
GDPMNH,GDP-mannose mannosyl hydrolase,b2051,2,18.273248
FACOAL60t2pp_num1,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1805,2,62.3312346000001
FACOAL60t2pp_num2,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1701,1 ,62.75864560000017
IDONt2rpp,"L-idonate transport via proton symport, reversible (periplasm)",b4265,1,46.04072780000005
ILEabcpp,L-isoleucine transport via ABC system (periplasm),b3457 and b3455 and b3456 and b3460 and b3454,1 and 1 and 1 and 1 and 1 ,32.981915499999985 and 28.42651510000003 and 46.268746800000066 and 39.07592450000002 and 26.309936100000005
INDOLEt2pp,"Indole transport via proton symport, irreversible (periplasm)",b3265 and b3266 and b3035,6 and 3 and 3 ,41.31715840000008 and 111.45306880000075 and 53.740044600000125
INSt2pp_num1,Inosine transport in via proton symport (periplasm),b2406,1,46.13931040000012
INSt2pp_num2,Inosine transport in via proton symport (periplasm),b2964,1,46.38871720000007
INSt2pp_num3,Inosine transport in via proton symport (periplasm),b2393,1 ,43.47523280000006
LYXt2pp,L-Lyxose transport via proton symport (periplasm),b3907,1,37.3193743
GDPDPK_num1,GDP diphosphokinase,b2784,1,83.87462440000041
GDPDPK_num2,GDP diphosphokinase,b3650,1 ,79.3415360000004
OCDCAtexi,Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54096350000007
OCDCEAtexi,Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,1,48.54096350000007
G6Ptex_num1,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
G6Ptex_num2,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
G6Ptex_num3,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
G6Ptex_num4,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
TUNGSabcpp,Tungstate transport via ABC system (periplasm),b0765 and b0764 and b0763,1 and 2 and 1 ,39.101939100000045 and 24.93851080000001 and 27.363867099999997
MOBDabcpp_num1,Molybdate transport via ABC system (periplasm),( b2424 and b2422 and b2423 and b3917 ),( 1 and 2 and 1 and 1 ),( 30.291467900000022 and 41.05839450000003 and 32.53719020000001 and 36.658827500000015 )
MOBDabcpp_num2,Molybdate transport via ABC system (periplasm),( b0765 and b0764 and b0763 ),( 1 and 2 and 1 ),39.101939100000045 and 24.93851080000001 and 27.363867099999997
MOBDabcpp_num3,Molybdate transport via ABC system (periplasm),( b2423 and b2425 and b2422 and b2424 ),( 1 and 1 and 2 and 1 ) ,32.53719020000001 and 37.61408540000001 and 41.05839450000003 and 30.291467900000022
MOBDtex_num1,Molybdate transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
MOBDtex_num2,Molybdate transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
MOBDtex_num3,Molybdate transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
MOBDtex_num4,Molybdate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
NI2uabcpp_num1,"Nickel transport via ABC system (uptake, periplasm)",( b3477 and b3476 and b3480 and b3479 and b3478 ),( 1 and 1 and 1 and 1 and 1 ),( 35.24769150000002 and 58.718272500000154 and 29.721316500000018 and 26.82010529999998 and 30.361609100000027 )
NI2uabcpp_num2,"Nickel transport via ABC system (uptake, periplasm)",b4242,1 ,99.4653217000007
NI2tex_num1,Nickel transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
NI2tex_num2,Nickel transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
NI2tex_num3,Nickel transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
NI2tex_num4,Nickel transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
R15BPK,"Ribose-1,5-bisphosphokinase",b4094,1,20.729350400000015
Kabcpp_num1,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 ),( 1 and 1 and 1 ),( 72.19832270000043 and 59.188417500000185 and 20.26689339999999 )
Kabcpp_num2,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 and b4513 ),( 1 and 1 and 1 and 1 ) ,72.19832270000043 and 59.188417500000185 and 20.26689339999999 and 3.071711
LEUabcpp_num1,L-leucine transport via ABC system (periplasm),( b3454 and b3460 and b3455 and b3457 and b3456 ),( 1 and 1 and 1 and 1 and 1 ),( 26.309936100000005 and 39.07592450000002 and 28.42651510000003 and 32.981915499999985 and 46.268746800000066 )
LEUabcpp_num2,L-leucine transport via ABC system (periplasm),( b3457 and b3456 and b3458 and b3455 and b3454 ),( 1 and 1 and 1 and 1 and 1 ) ,32.981915499999985 and 46.268746800000066 and 39.37822310000003 and 28.42651510000003 and 26.309936100000005
L_LACt2rpp_num1,L-lactate reversible transport via proton symport (periplasm),b3603,1,59.167439600000165
L_LACt2rpp_num2,L-lactate reversible transport via proton symport (periplasm),b2975,1 ,58.91941700000013
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),b3528,1,45.43573190000005
MALt2_3pp_num1,Malate transport via proton symport (3 H) (periplasm),b4123,1,47.93468860000006
MALt2_3pp_num2,Malate transport via proton symport (3 H) (periplasm),b4138,1 ,45.75016070000011
MALTabcpp,Maltose transport via ABC system (periplasm),b4032 and b4033 and b4035 and b4034,1 and 1 and 2 and 1 ,32.22500920000002 and 57.01269250000002 and 40.989968000000026 and 43.38708860000004
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),b4033 and b4034 and b4032 and b4035,1 and 1 and 1 and 2 ,57.01269250000002 and 43.38708860000004 and 32.22500920000002 and 40.989968000000026
MALTPTabcpp,Maltopentaose transport via ABC system (periplasm),b4033 and b4035 and b4032 and b4034,1 and 2 and 1 and 1 ,57.01269250000002 and 40.989968000000026 and 32.22500920000002 and 43.38708860000004
MALTTRabcpp,Maltotriose transport via ABC system (periplasm),b4033 and b4034 and b4035 and b4032,1 and 1 and 2 and 1 ,57.01269250000002 and 43.38708860000004 and 40.989968000000026 and 32.22500920000002
MALTTTRabcpp,Maltotetraose transport via ABC system (periplasm),b4034 and b4033 and b4032 and b4035,1 and 1 and 1 and 2 ,43.38708860000004 and 57.01269250000002 and 32.22500920000002 and 40.989968000000026
MAN6Pt6_2pp,Mannose-6-phosphate transport via phosphate antiport (periplasm),b3666,1,50.60598890000001
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),b0731 and b2415 and b2416,1 and 1 and 2 ,69.66707320000029 and 9.1192594 and 63.56109830000026
MELIBt2pp_num1,Melibiose transport in via symport (periplasm),b4120,1,52.63577030000003
MELIBt2pp_num2,Melibiose transport in via symport (periplasm),b0343,1 ,46.50269560000004
METabcpp,L-methionine transport via ABC system (periplasm),b0197 and b0198 and b0199,1 and 2 and 2 ,29.431257300000013 and 23.255796499999995 and 37.78792870000007
GGPTRCS,Gamma glutamyl putrescine synthase,b1297,12,53.176579600000046
RMNtpp,L-rhamnose transport via proton symport (periplasm),b3907,1,37.3193743
SERt4pp,L-serine via sodium symport (periplasm),b3089,1,43.47719440000009
SUCCt2_3pp_num1,Succintate transport via proton symport (3 H) (periplasm),b4123,1,47.93468860000006
SUCCt2_3pp_num2,Succintate transport via proton symport (3 H) (periplasm),b4138,1 ,45.75016070000011
MNLptspp_num1,Mannitol transport via PEP:Pyr PTS (periplasm),( b2933 and b2415 and b2934 and b2416 ),( 1 and 1 and 1 and 2 ),( 48.970464300000074 and 9.1192594 and 16.046043099999988 and 63.56109830000026 )
MNLptspp_num2,Mannitol transport via PEP:Pyr PTS (periplasm),( b3599 and b2415 and b2416 ),( 2 and 1 and 2 ),67.97147530000024 and 9.1192594 and 63.56109830000026
MNLptspp_num3,Mannitol transport via PEP:Pyr PTS (periplasm),( b2703 and b2704 and b2415 and b2702 and b2416 ),( 1 and 1 and 1 and 1 and 2 ) ,33.33162730000003 and 13.303888799999985 and 9.1192594 and 20.5800914 and 63.56109830000026
NAt3_1p5pp,Sodium proton antiporter (H:NA is 1.5) (periplasm),b1186,1,56.727717800000086
NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),b0019,2,41.35518150000001
NH4tpp,Ammonia reversible transport (periplasm),b0451,3,44.514172099999996
NMNPtpp,NMN permease (periplasm),b0751,1,26.995929400000012
NO2t2rpp_num1,"Nitrite transport in via proton symport, reversible (periplasm)",b1223,1,49.692834900000115
NO2t2rpp_num2,"Nitrite transport in via proton symport, reversible (periplasm)",b3367,1 ,28.56218420000003
NO3t7pp_num1,Nitrate transport in via nitrite antiport (periplasm),b1223,1,49.692834900000115
NO3t7pp_num2,Nitrate transport in via nitrite antiport (periplasm),b1469,1 ,49.88954030000007
ORNabcpp,Ornithine transport via ABC system (periplasm),b2306 and b2307 and b2308 and b2310,2 and 1 and 1 and 1 ,28.652698099999995 and 26.86945490000002 and 24.648966500000004 and 27.99130769999997
PIuabcpp,"Phosphate transport via ABC system (uptake, periplasm)",b3728 and b3725 and b3727 and b3726,1 and 2 and 1 and 1 ,37.02342900000002 and 29.026956600000005 and 34.120597300000014 and 32.321410900000004
PNTOt4pp,Pantothenate sodium symporter (periplasm),b3258,1,51.7164075
FRULYSDG,Fructoselysine phosphate deglycase,b3371,12,38.568781000000016
METDabcpp,D-methionine transport via ABC system (periplasm),b0199 and b0198 and b0197,2 and 2 and 1 ,37.78792870000007 and 23.255796499999995 and 29.431257300000013
PROabcpp,L-proline transport via ABC system (periplasm),b2678 and b2677 and b2679,2 and 2 and 1 ,37.619238700000025 and 44.162282500000046 and 36.02210150000005
PROt2rpp_num1,L-proline reversible transport via proton symport (periplasm),b4111,2,54.84515890000003
PROt2rpp_num2,L-proline reversible transport via proton symport (periplasm),b0402,1 ,50.21513430000007
PROt4pp,Na+/Proline-L symporter (periplasm),b1015,1,54.34351770000012
PTRCabcpp_num1,Putrescine transport via ABC system (periplasm),( b1441 and b1440 and b1442 and b1443 ),( 1 and 1 and 1 and 1 ),( 37.040169600000006 and 42.29468670000003 and 34.359652000000004 and 28.72151830000001 )
PTRCabcpp_num2,Putrescine transport via ABC system (periplasm),( b0857 and b0854 and b0855 and b0856 ),( 1 and 1 and 2 and 1 ),30.540227700000017 and 40.83916070000006 and 41.93024030000003 and 35.48908560000005
PTRCabcpp_num3,Putrescine transport via ABC system (periplasm),( b1124 and b1125 and b1126 and b1123 ),( 1 and 1 and 2 and 1 ) ,29.11060090000002 and 31.061606800000003 and 43.027723500000036 and 38.86660279999999
ASNNpp,L-asparaginase,b2957,4,36.85024590000005
GLUNpp,Glutaminase,b2957,4,36.85024590000005
NTD12_num1,5'-nucleotidase (dIMP),b3399,1,25.398524800000015
NTD12_num2,5'-nucleotidase (dIMP),b2744,1,26.900114600000002
NTD12_num3,5'-nucleotidase (dIMP),b2291,2,22.70779700000001
NTD12_num4,5'-nucleotidase (dIMP),b2361,1 ,20.25522349999999
FECRMtonex,Ferrichrome transport via ton system (extracellular),b3006 and b1252 and b3005 and b0150,1 and 1 and 1 and 1 ,26.287070799999984 and 26.093928899999998 and 15.52681839999999 and 82.18124900000039
ADOCBLabcpp,Adenosylcobalamin transport via ABC system (periplasm),b0158 and b1709 and b1711,1 and 2 and 2 ,29.366459200000005 and 27.08087340000001 and 34.9488956
CRNabcpp,L-carnitine transport via ABC system (periplasm),b2677 and b2679 and b2678,2 and 1 and 2 ,44.162282500000046 and 36.02210150000005 and 37.619238700000025
CRNDabcpp,D-carnitine transport via ABC system (periplasm),b2677 and b2679 and b2678,2 and 1 and 2 ,44.162282500000046 and 36.02210150000005 and 37.619238700000025
DNTPPA_num1,Dihydroneopterin triphosphate pyrophosphatase,b1865,1,17.30555309999999
DNTPPA_num2,Dihydroneopterin triphosphate pyrophosphatase,b0099,1 ,14.9268881
CTBTabcpp,Crotonobetaine transport via ABC system (periplasm),b2677 and b2678 and b2679,2 and 2 and 1 ,44.162282500000046 and 37.619238700000025 and 36.02210150000005
NTPP9,Nucleoside triphosphate pyrophosphorylase (itp),b2954,2,21.03858249999999
NTPP10,Nucleoside triphosphate pyrophosphorylase (ditp),b2954,2,21.03858249999999
NTPP11,Nucleoside triphosphate pyrophosphorylase (xtp),b2954,2,21.03858249999999
NTD10pp_num1,5'-nucleotidase (XMP),b4055,4,26.10321480000001
NTD10pp_num2,5'-nucleotidase (XMP),b0480,1 ,60.82323910000007
NTD1pp_num1,5'-nucleotidase (dUMP),b0480,1,60.82323910000007
NTD1pp_num2,5'-nucleotidase (dUMP),b4055,4 ,26.10321480000001
NTD2pp_num1,5'-nucleotidase (UMP),b0480,1,60.82323910000007
NTD2pp_num2,5'-nucleotidase (UMP),b4055,4,26.10321480000001
NTD2pp_num3,5'-nucleotidase (UMP),b0383,2 ,49.43799920000007
NTD3pp_num1,5'-nucleotidase (dCMP),b0480,1,60.82323910000007
NTD3pp_num2,5'-nucleotidase (dCMP),b4055,4 ,26.10321480000001
NTD4pp_num1,5'-nucleotidase (CMP),b4055,4,26.10321480000001
NTD4pp_num2,5'-nucleotidase (CMP),b0480,1,60.82323910000007
NTD4pp_num3,5'-nucleotidase (CMP),b0383,2 ,49.43799920000007
NTD5pp_num1,5'-nucleotidase (dTMP),b4055,4,26.10321480000001
NTD5pp_num2,5'-nucleotidase (dTMP),b0480,1 ,60.82323910000007
NTD6pp_num1,5'-nucleotidase (dAMP),b0480,1,60.82323910000007
NTD6pp_num2,5'-nucleotidase (dAMP),b4055,4 ,26.10321480000001
NTD7pp_num1,5'-nucleotidase (AMP),b4055,4,26.10321480000001
NTD7pp_num2,5'-nucleotidase (AMP),b0480,1,60.82323910000007
NTD7pp_num3,5'-nucleotidase (AMP),b0383,2 ,49.43799920000007
NTD9pp_num1,5'-nucleotidase (GMP),b4055,4,26.10321480000001
NTD9pp_num2,5'-nucleotidase (GMP),b0480,1,60.82323910000007
NTD9pp_num3,5'-nucleotidase (GMP),b0383,2 ,49.43799920000007
PEAMNOpp,Phenethylamine oxidase,b1386,2,84.37762450000031
GAL1PPpp,D-galactose 1-phosphatase,b1002,2,45.682384500000055
H2O2tex_num1,Hydrogen peroxide transport via diffusion (external),b1377,1,41.219343300000034
H2O2tex_num2,Hydrogen peroxide transport via diffusion (external),b0241,3,38.92151909999999
H2O2tex_num3,Hydrogen peroxide transport via diffusion (external),b0929,3,39.3327982
H2O2tex_num4,Hydrogen peroxide transport via diffusion (external),b2215,3 ,40.36758979999997
ARGDCpp,Arginine decarboxylase,b2938,4,73.89761930000031
ALLPI,Allose 6-phosphate isomerase,b4090,2,16.073134199999995
ALLK,Allose kinase,b4084,1,33.82057100000002
ALLULPE,Allulose 6-phosphate epimerase,b4085,1,26.1089052
ADEtex_num1,Adenine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
ADEtex_num2,Adenine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
ADEtex_num3,Adenine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
ADEtex_num4,Adenine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
ADNtex,Adenosine transport via diffusion (extracellular to periplasm),b0411,1,33.58858699999999
AGMtex_num1,Agmatine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
AGMtex_num2,Agmatine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
AGMtex_num3,Agmatine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
AGMtex_num4,Agmatine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
ALAtex_num1,L-alanine transport via diffusion (extracellular to periplasm),b2215,3,40.36758979999997
ALAtex_num2,L-alanine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
ALAtex_num3,L-alanine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
ALAtex_num4,L-alanine transport via diffusion (extracellular to periplasm),b0929,3 ,39.3327982
BALAtex_num1,Beta-alanine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
BALAtex_num2,Beta-alanine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
BALAtex_num3,Beta-alanine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
BALAtex_num4,Beta-alanine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
DALAtex_num1,D-Alanine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
DALAtex_num2,D-Alanine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
DALAtex_num3,D-Alanine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
DALAtex_num4,D-Alanine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
AMPtex_num1,AMP transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
AMPtex_num2,AMP transport via diffusion (extracellular to periplasm),b2215,3,40.36758979999997
AMPtex_num3,AMP transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
AMPtex_num4,AMP transport via diffusion (extracellular to periplasm),b1377,1 ,41.219343300000034
ARBtex_num1,L-arabinose transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
ARBtex_num2,L-arabinose transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
ARBtex_num3,L-arabinose transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
ARBtex_num4,L-arabinose transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
ARGtex_num1,L-arginine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
ARGtex_num2,L-arginine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
ARGtex_num3,L-arginine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
ARGtex_num4,L-arginine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
ASCBtex_num1,L-ascorbate transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
ASCBtex_num2,L-ascorbate transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
ASCBtex_num3,L-ascorbate transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
ASCBtex_num4,L-ascorbate transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
FACOAL100t2pp_num1,Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),b1805,2,62.3312346000001
FACOAL100t2pp_num2,Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),b1701,1 ,62.75864560000017
RIBabcpp_num1,D-ribose transport via ABC system (periplasm),( b3749 and b3750 and b3751 and b3748 ),( 1 and 2 and 1 and 10 ),( 55.04097990000005 and 33.45141189999997 and 30.95010329999996 and 15.292332499999995 )
RIBabcpp_num2,D-ribose transport via ABC system (periplasm),( b4485 and b4230 and b4227 and b4231 ),( 1 and 1 and 1 and 1 ),55.25935330000005 and 35.658540900000006 and 34.3442546 and 34.97723380000001
RIBabcpp_num3,D-ribose transport via ABC system (periplasm),( b4086 and b4088 and b4087 ),( 2 and 1 and 1 ) ,34.315245099999984 and 32.9095082 and 56.74425760000008
GPDDA3pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),b2239,2,40.842874500000015
GPDDA4pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),b2239,2,40.842874500000015
GPDDA2pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),b2239,2,40.842874500000015
FACOAL120t2pp_num1,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),b1701,1,62.75864560000017
FACOAL120t2pp_num2,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),b1805,2 ,62.3312346000001
FACOAL140t2pp_num1,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),b1701,1,62.75864560000017
FACOAL140t2pp_num2,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),b1805,2 ,62.3312346000001
FE3HOXtonex,Fe(III)hydroxamine transport via ton system (extracellular),b3006 and b1252 and b3005 and b0150,1 and 1 and 1 and 1 ,26.287070799999984 and 26.093928899999998 and 15.52681839999999 and 82.18124900000039
CU2abcpp,Copper (Cu+2) ABC transporter (periplasm),b3469,1,76.83895830000047
COBALT2abcpp,Cobalt (Co+2) ABC transporter (periplasm),b3469,1,76.83895830000047
NI2abcpp,Nickle (Ni+2) ABC transporter (periplasm),b3469,1,76.83895830000047
MG2uabcpp,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)",b4242,1,99.4653217000007
HCYSMT2,Homocysteine Methyltransferase,b0261,1,33.42242890000004
MMETtex_num1,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
MMETtex_num2,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
MMETtex_num3,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
MMETtex_num4,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
FE3tex_num1,Iron (III) transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
FE3tex_num2,Iron (III) transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
FE3tex_num3,Iron (III) transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
FE3tex_num4,Iron (III) transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
MG2tex_num1,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
MG2tex_num2,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
MG2tex_num3,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
MG2tex_num4,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
Zn2tex_num1,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
Zn2tex_num2,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
Zn2tex_num3,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
Zn2tex_num4,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
MMETt2pp,S-methylmethionine permease (periplasm),b0260,1,50.525197300000094
CD2tex_num1,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),b1377,1,41.219343300000034
CD2tex_num2,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),b0241,3,38.92151909999999
CD2tex_num3,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),b0929,3,39.3327982
CD2tex_num4,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),b2215,3 ,40.36758979999997
GLNabcpp,L-glutamine transport via ABC system (periplasm),b0809 and b0811 and b0810,2 and 1 and 2 ,26.730670699999997 and 27.189763600000003 and 24.36399350000002
GLUabcpp,L-glutamate transport via ABC system (periplasm),b0654 and b0653 and b0655 and b0652,1 and 1 and 1 and 2 ,27.502363100000004 and 24.914420400000008 and 33.4197698 and 26.66080609999999
GLUABUTt7pp,4-aminobutyrate/glutamate antiport (periplasm),b1492,1,55.075997900000004
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)",b4077,1,47.15859530000004
GLUt4pp,Na+/glutamate symport (periplasm),b3653,1,42.42463480000005
