,name,gene_reaction_rule,subunit_mw,subunit_num
METSOXR1_num3,L-methionine-S-oxide reductase,( b3781 and b4219 ),( 11.80662 and 23.31503 ),( 1 and 1 )
METSOXR1_num4,L-methionine-S-oxide reductase,( b3551 and b3781 ),( 85.85066 and 11.80662 ) ,( 1 and 1 ) 
METSOXR2_num1,L-methionine-R-sulfoxide reductase,( b1832 and b3781 ),( 18.122 and 11.80662 ),( 2 and 1 )
METSOXR2_num2,L-methionine-R-sulfoxide reductase,( b2582 and b1778 ),( 15.55477 and 15.45118 ),( 1 and 1 )
METSOXR2_num3,L-methionine-R-sulfoxide reductase,( b3781 and b1778 ),( 11.80662 and 15.45118 ),( 1 and 1 )
METSOXR2_num4,L-methionine-R-sulfoxide reductase,( b1832 and b2582 ),( 18.122 and 15.55477 ) ,( 2 and 1 ) 
DAPAL,"2,3-diaminopropionate amonnia lyase",b2871,43.32756,2
AMPTASECG_num1,Alanyl aminopeptidase (cys-gly),b2523,46.18017,6
AMPTASECG_num2,Alanyl aminopeptidase (cys-gly),b0932,98.91894,1
AMPTASECG_num3,Alanyl aminopeptidase (cys-gly),b4260,54.87981,6
AMPTASECG_num4,Alanyl aminopeptidase (cys-gly),b0237,52.91541 ,2 
DOPAtex_num1,Dopamine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
DOPAtex_num2,Dopamine transport via diffusion (extracellular to periplasm),b0241,38.922,3
DOPAtex_num3,Dopamine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
DOPAtex_num4,Dopamine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
4HOXPACDtex_num1,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b1377,41.21985,1
4HOXPACDtex_num2,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b0241,38.922,3
4HOXPACDtex_num3,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b0929,39.33331,3
4HOXPACDtex_num4,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
LACZpp,B-galactosidase,b2132,83.46005,1
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),b2239,40.84335,2
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),b2239,40.84335,2
ETHAtex_num1,Ethanolamine transport via diffusion (extracellular),b1377,41.21985,1
ETHAtex_num2,Ethanolamine transport via diffusion (extracellular),b0241,38.922,3
ETHAtex_num3,Ethanolamine transport via diffusion (extracellular),b0929,39.33331,3
ETHAtex_num4,Ethanolamine transport via diffusion (extracellular),b2215,40.36812 ,3 
G3PStex_num1,Glycerophosphserine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
G3PStex_num2,Glycerophosphserine transport via diffusion (extracellular to periplasm),b0241,38.922,3
G3PStex_num3,Glycerophosphserine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
G3PStex_num4,Glycerophosphserine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
FLVR_num1,Flavin reductase,b3844,26.24199,1
FLVR_num2,Flavin reductase,( b2764 and b2763 ),( 66.26984 and 63.99812 ) ,( 8 and 4 ) 
FDMO2,FMNH2-dependent monooxygenase (methanesulfonate),b0935,41.73627,4
LALGP,L-alanyl-gamma-L-glutamate peptidase,b0237,52.91541,2
AGM4PApp_num1,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b2435,31.41213,1
AGM4PApp_num2,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b2817,45.63445,1
AGM4PApp_num3,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b4169,47.98523,1
AGM4PApp_num4,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),b0867,31.072 ,1 
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,b0110,20.53617,1
RNDR3b_num1,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 36.44324 and 80.47901 and 24.35021 ),( 2 and 2 and 1 )
RNDR3b_num2,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 9.68485 and 36.44324 and 80.47901 ),( 1 and 2 and 2 )
RNDR3b_num3,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 36.44324 and 80.47901 and 9.13749 ),( 2 and 2 and 1 )
RNDR3b_num4,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 36.44324 and 80.47901 and 12.87876 ) ,( 2 and 2 and 2 ) 
RNDR4b_num1,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 36.44324 and 80.47901 and 12.87876 ),( 2 and 2 and 2 )
RNDR4b_num2,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 9.68485 and 36.44324 and 80.47901 ),( 1 and 2 and 2 )
RNDR4b_num3,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 36.44324 and 80.47901 and 9.13749 ),( 2 and 2 and 1 )
RNDR4b_num4,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 36.44324 and 80.47901 and 24.35021 ) ,( 2 and 2 and 1 ) 
ACGAL1Ptex_num1,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ACGAL1Ptex_num2,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
ACGAL1Ptex_num3,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ACGAL1Ptex_num4,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ACGALtex_num1,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ACGALtex_num2,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0241,38.922,3
ACGALtex_num3,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ACGALtex_num4,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
GLCUR1Ptex_num1,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GLCUR1Ptex_num2,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
GLCUR1Ptex_num3,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GLCUR1Ptex_num4,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
UDPGLCURtex_num1,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
UDPGLCURtex_num2,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b0241,38.922,3
UDPGLCURtex_num3,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
UDPGLCURtex_num4,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
UDPGALPpp,UDPgalactose pyrophosphohydrolase,b0480,60.82397,1
UACGAMPpp,UDP-N-acetyl-D-glucosamine pyrophosphohydrolase (periplasm),b0480,60.82397,1
UACGALPpp,UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm),b0480,60.82397,1
UGLCURPpp,UDP-D-glucuronate pyrophosphohydrolase (periplasm),b0480,60.82397,1
FEROpp_num1,Ferroxidase,b0123,56.55615,1
FEROpp_num2,Ferroxidase,b3336,18.495 ,24 
ISETACabcpp_num1,Isethionate transport via ABC system (periplasm),( b0366 and b0365 and b0367 ),( 28.29675 and 34.26612 and 29.81193 ),( 2 and 1 and 2 )
ISETACabcpp_num2,Isethionate transport via ABC system (periplasm),( b0934 and b0933 and b0936 ),( 28.92546 and 27.73811 and 34.55775 ) ,( 2 and 2 and 1 ) 
ISETACtex_num1,Isethionate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ISETACtex_num2,Isethionate transport via diffusion (extracellular to periplasm),b0241,38.922,3
ISETACtex_num3,Isethionate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ISETACtex_num4,Isethionate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
UDPGtex_num1,UDPglucose transport via diffusion (extracellular to periplasm),b1377,41.21985,1
UDPGtex_num2,UDPglucose transport via diffusion (extracellular to periplasm),b0241,38.922,3
UDPGtex_num3,UDPglucose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
UDPGtex_num4,UDPglucose transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
UDPGALtex_num1,UDPgalactose transport via diffusion (extracellular to periplasm),b2215,40.36812,3
UDPGALtex_num2,UDPgalactose transport via diffusion (extracellular to periplasm),b0929,39.33331,3
UDPGALtex_num3,UDPgalactose transport via diffusion (extracellular to periplasm),b1377,41.21985,1
UDPGALtex_num4,UDPgalactose transport via diffusion (extracellular to periplasm),b0241,38.922 ,3 
ACGAM1Ptex_num1,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ACGAM1Ptex_num2,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
ACGAM1Ptex_num3,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ACGAM1Ptex_num4,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
UACGAMtex_num1,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
UACGAMtex_num2,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0241,38.922,3
UACGAMtex_num3,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
UACGAMtex_num4,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
UDPACGALtex_num1,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
UDPACGALtex_num2,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0241,38.922,3
UDPACGALtex_num3,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
UDPACGALtex_num4,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",b1192,33.56747,1
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,b0110,20.53617,1
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",b1192,33.56747,1
CBLAT,Cob(I)alamin adenosyltransferase,b1270,21.99889,1
MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),b0936 and b0933 and b0934,34.55775 and 27.73811 and 28.92546 ,1 and 2 and 2 
MSO3tex_num1,Methanesulfonate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
MSO3tex_num2,Methanesulfonate transport via diffusion (extracellular to periplasm),b0241,38.922,3
MSO3tex_num3,Methanesulfonate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
MSO3tex_num4,Methanesulfonate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
TDP,Thiamin pyrophosphatase,b1134,17.43291,1
3PEPTabcpp_num1,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b2178 and b2177 and b2180 and b2179 ),( 40.36 and 69.669 and 58.726 and 38.092 ),( 1 and 1 and 1 and 1 )
3PEPTabcpp_num2,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b1329 and b1247 and b1245 and b1244 and b1246 ),( 59.90021 and 37.19755 and 33.02192 and 33.4432 and 37.18843 ),( 1 and 1 and 1 and 1 and 1 )
3PEPTabcpp_num3,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),( b1244 and b1247 and b1245 and b1246 and b1243 ),( 33.4432 and 37.19755 and 33.02192 and 37.18843 and 60.89893 ) ,( 1 and 1 and 1 and 1 and 1 ) 
4PEPTabcpp_num1,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),( b1245 and b1247 and b1243 and b1244 and b1246 ),( 33.02192 and 37.19755 and 60.89893 and 33.4432 and 37.18843 ),( 1 and 1 and 1 and 1 and 1 )
4PEPTabcpp_num2,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),( b2178 and b2177 and b2180 and b2179 ),( 40.36 and 69.669 and 58.726 and 38.092 ) ,( 1 and 1 and 1 and 1 ) 
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),b0433,53.2452,1
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),b0433,53.2452,1
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),b0433,53.2452,1
FEOXAMR1,Ferroxamine reductase,b4367,30.11275,1
FEOXAMR2,Ferroxamine reductase,b4367,30.11275,1
FEOXAMR3,Ferroxamine reductase,b4367,30.11275,1
PTHRpp_num1,Phospho-L-threonine phosphatase (periplasmic),b4055,26.10354,4
PTHRpp_num2,Phospho-L-threonine phosphatase (periplasmic),b0383,49.43859 ,2 
ARABDI,L-fucose isomerase,b2802,64.97667,6
AGt3,Silver transport out via proton antiport,b0573 and b0572 and b0574 and b0575,12.25116 and 50.26959 and 44.3049 and 114.70715 ,1 and 3 and 6 and 3 
CD2t3pp_num1,Cadmium (Cd+2) transport out via proton antiport (periplasm),b3915,32.92726,2
CD2t3pp_num2,Cadmium (Cd+2) transport out via proton antiport (periplasm),b0752,34.67842 ,1 
ZNabcpp,Zinc (Zn+2) transport via ABC system (periplasm),b1858 and b1859 and b1857,27.86746 and 27.72866 and 33.77738 ,2 and 2 and 2 
SKMt2pp,Shikimate transport in via proton symport (periplasm),b1981,47.81738,1
FE2t2pp,Iron (II) transport in via proton symport (periplasm),b2392,44.19367,1
R5PPpp_num1,Ribose 5-phosphate phosphatase,b4055,26.10354,4
R5PPpp_num2,Ribose 5-phosphate phosphatase,b0383,49.43859 ,2 
PSP_Lpp_num1,Phospho-L-serine phosphatase (periplasmic),b4055,26.10354,4
PSP_Lpp_num2,Phospho-L-serine phosphatase (periplasmic),b0383,49.43859 ,2 
TYRPpp,Phospho-L-tyrosine phosphatase (periplasmic),b4055,26.10354,4
GLYC2Ptex_num1,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
GLYC2Ptex_num2,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
GLYC2Ptex_num3,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
GLYC2Ptex_num4,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PSERtex_num1,Phospho-L-serine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
PSERtex_num2,Phospho-L-serine transport via diffusion (extracellular to periplasm),b0241,38.922,3
PSERtex_num3,Phospho-L-serine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
PSERtex_num4,Phospho-L-serine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
R5Ptex_num1,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
R5Ptex_num2,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
R5Ptex_num3,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
R5Ptex_num4,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
THRPtex_num1,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
THRPtex_num2,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b0241,38.922,3
THRPtex_num3,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
THRPtex_num4,Phospho-L-threonine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
TYRPtex_num1,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
TYRPtex_num2,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b0241,38.922,3
TYRPtex_num3,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
TYRPtex_num4,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
PAPSR2_num1,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b1064 and b2762 ),( 24.35021 and 27.97583 ),( 1 and 2 )
PAPSR2_num2,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b3610 and b2762 ),( 9.13749 and 27.97583 ),( 1 and 2 )
PAPSR2_num3,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b0849 and b2762 ),( 9.68485 and 27.97583 ),( 1 and 2 )
PAPSR2_num4,Phosphoadenylyl-sulfate reductase (glutaredoxin),( b1654 and b2762 ),( 12.87876 and 27.97583 ) ,( 2 and 2 ) 
GRXR_num1,Glutaredoxin reductase,b1654,12.87876,2
GRXR_num2,Glutaredoxin reductase,b1064,24.35021,1
GRXR_num3,Glutaredoxin reductase,b3610,9.13749,1
GRXR_num4,Glutaredoxin reductase,b0849,9.68485 ,1 
RNDR1b_num1,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 9.68485 and 36.44324 and 80.47901 ),( 1 and 2 and 2 )
RNDR1b_num2,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 36.44324 and 80.47901 and 24.35021 ),( 2 and 2 and 1 )
RNDR1b_num3,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 36.44324 and 80.47901 and 9.13749 ),( 2 and 2 and 1 )
RNDR1b_num4,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 36.44324 and 80.47901 and 12.87876 ) ,( 2 and 2 and 2 ) 
RNDR2b_num1,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1654 ),( 36.44324 and 80.47901 and 12.87876 ),( 2 and 2 and 2 )
RNDR2b_num2,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b0849 and b2676 and b2675 ),( 9.68485 and 36.44324 and 80.47901 ),( 1 and 2 and 2 )
RNDR2b_num3,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b1064 ),( 36.44324 and 80.47901 and 24.35021 ),( 2 and 2 and 1 )
RNDR2b_num4,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),( b2676 and b2675 and b3610 ),( 36.44324 and 80.47901 and 9.13749 ) ,( 2 and 2 and 1 ) 
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),b0452,31.96633,4
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),b0452,31.96633,4
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),b0452,31.96633,4
AAMYL,Alpha-amylase,b1927,56.63938,1
AAMYLpp,Alpha-amylase (periplasm),b3571,75.71267,1
FACOAL80t2pp_num1,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1805,62.33199,2
FACOAL80t2pp_num2,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),b1701,60.77312 ,1 
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",b3650,79.34244,1
CPGNabcpp,Coprogen transport via ABC system (periplasm),b0153 and b0151 and b0152,70.423 and 28.88643 and 32.99833 ,1 and 2 and 1 
CITtex_num1,Citrate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
CITtex_num2,Citrate transport via diffusion (extracellular to periplasm),b0241,38.922,3
CITtex_num3,Citrate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
CITtex_num4,Citrate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
ACGAtex_num1,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b1377,41.21985,1
ACGAtex_num2,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0241,38.922,3
ACGAtex_num3,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b0929,39.33331,3
ACGAtex_num4,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,48.54159,1
TTDCAtexi,Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,48.54159,1
HDCAtexi,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,48.54159,1
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",b4213,70.83219,1
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",b4213,70.83219,1
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",b4213,70.83219,1
SARCOX,Sarcosine oxidase,b1059,40.902,1
MN6PP_num1,Mannose 6-phosphate phosphatase,b3697,29.721,1
MN6PP_num2,Mannose 6-phosphate phosphatase,b0822,30.41283,1
MN6PP_num3,Mannose 6-phosphate phosphatase,b1727,24.33,1
MN6PP_num4,Mannose 6-phosphate phosphatase,b3826,29.70773 ,1 
3KGK,3-keto-L-gulonate kinase,b3580,55.15484,2
F6PP_num1,D-fructose 6-phosphate phosphatase,b2293,23.007,1
F6PP_num2,D-fructose 6-phosphate phosphatase,b3697,29.721,1
F6PP_num3,D-fructose 6-phosphate phosphatase,b0822,30.41283,1
F6PP_num4,D-fructose 6-phosphate phosphatase,b2690,20.77981,1
F6PP_num5,D-fructose 6-phosphate phosphatase,b3826,29.70773 ,1 
GDPMNH,GDP-mannose mannosyl hydrolase,b2051,18.27349,2
FACOAL60t2pp_num1,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1805,62.33199,2
FACOAL60t2pp_num2,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),b1701,60.77312 ,1 
IDONt2rpp,"L-idonate transport via proton symport, reversible (periplasm)",b4265,46.04129,1
ILEabcpp,L-isoleucine transport via ABC system (periplasm),b3457 and b3455 and b3456 and b3460 and b3454,32.98227 and 28.42684 and 46.26931 and 39.0764 and 26.31024 ,1 and 1 and 1 and 1 and 1 
INDOLEt2pp,"Indole transport via proton symport, irreversible (periplasm)",b3265 and b3266 and b3035,41.31768 and 111.45439 and 53.74072 ,6 and 3 and 3 
INSt2pp_num1,Inosine transport in via proton symport (periplasm),b2406,46.13983,1
INSt2pp_num2,Inosine transport in via proton symport (periplasm),b2964,46.38924,1
INSt2pp_num3,Inosine transport in via proton symport (periplasm),b2393,43.47575 ,1 
LYXt2pp,L-Lyxose transport via proton symport (periplasm),b3907,37.31979,1
GDPDPK_num1,GDP diphosphokinase,b2784,83.87562,1
GDPDPK_num2,GDP diphosphokinase,b3650,79.34244 ,1 
OCDCAtexi,Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,48.54159,1
OCDCEAtexi,Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm),b2344,48.54159,1
G6Ptex_num1,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
G6Ptex_num2,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b0241,38.922,3
G6Ptex_num3,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
G6Ptex_num4,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
TUNGSabcpp,Tungstate transport via ABC system (periplasm),b0765 and b0764 and b0763,39.10243 and 24.93882 and 27.36423 ,1 and 2 and 1 
MOBDabcpp_num1,Molybdate transport via ABC system (periplasm),( b2424 and b2422 and b2423 and b3917 ),( 30.29186 and 41.05892 and 32.53759 and 36.65932 ),( 1 and 2 and 1 and 1 )
MOBDabcpp_num2,Molybdate transport via ABC system (periplasm),( b0765 and b0764 and b0763 ),( 39.10243 and 24.93882 and 27.36423 ),( 1 and 2 and 1 )
MOBDabcpp_num3,Molybdate transport via ABC system (periplasm),( b2423 and b2425 and b2422 and b2424 ),( 32.53759 and 37.61457 and 41.05892 and 30.29186 ) ,( 1 and 1 and 2 and 1 ) 
MOBDtex_num1,Molybdate transport via diffusion (extracellular to periplasm),b1377,41.21985,1
MOBDtex_num2,Molybdate transport via diffusion (extracellular to periplasm),b0241,38.922,3
MOBDtex_num3,Molybdate transport via diffusion (extracellular to periplasm),b0929,39.33331,3
MOBDtex_num4,Molybdate transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
NI2uabcpp_num1,"Nickel transport via ABC system (uptake, periplasm)",( b3477 and b3476 and b3480 and b3479 and b3478 ),( 35.2481 and 58.71902 and 29.72166 and 26.82038 and 30.36196 ),( 1 and 1 and 1 and 1 and 1 )
NI2uabcpp_num2,"Nickel transport via ABC system (uptake, periplasm)",b4242,99.46649 ,1 
NI2tex_num1,Nickel transport via diffusion (extracellular to periplasm),b1377,41.21985,1
NI2tex_num2,Nickel transport via diffusion (extracellular to periplasm),b0241,38.922,3
NI2tex_num3,Nickel transport via diffusion (extracellular to periplasm),b0929,39.33331,3
NI2tex_num4,Nickel transport via diffusion (extracellular to periplasm),b2215,40.36812 ,3 
R15BPK,"Ribose-1,5-bisphosphokinase",b4094,20.72959,1
Kabcpp_num1,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 ),( 72.19918 and 59.18907 and 20.26716 ),( 1 and 1 and 1 )
Kabcpp_num2,Potassium ABC transporter (periplasm),( b0697 and b0698 and b0696 and b4513 ),( 72.19918 and 59.18907 and 20.26716 and 3.07175 ) ,( 1 and 1 and 1 and 1 ) 
LEUabcpp_num1,L-leucine transport via ABC system (periplasm),( b3454 and b3460 and b3455 and b3457 and b3456 ),( 26.31024 and 39.0764 and 28.42684 and 32.98227 and 46.26931 ),( 1 and 1 and 1 and 1 and 1 )
LEUabcpp_num2,L-leucine transport via ABC system (periplasm),( b3457 and b3456 and b3458 and b3455 and b3454 ),( 32.98227 and 46.26931 and 39.37868 and 28.42684 and 26.31024 ) ,( 1 and 1 and 1 and 1 and 1 ) 
L_LACt2rpp_num1,L-lactate reversible transport via proton symport (periplasm),b3603,59.1682,1
L_LACt2rpp_num2,L-lactate reversible transport via proton symport (periplasm),b2975,58.92016 ,1 
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),b3528,45.43628,1
MALt2_3pp_num1,Malate transport via proton symport (3 H) (periplasm),b4123,47.93526,1
MALt2_3pp_num2,Malate transport via proton symport (3 H) (periplasm),b4138,45.75071 ,1 
MALTabcpp,Maltose transport via ABC system (periplasm),b4032 and b4033 and b4035 and b4034,32.22542 and 57.0134 and 40.99045 and 43.38764 ,1 and 1 and 2 and 1 
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),b4033 and b4034 and b4032 and b4035,57.0134 and 43.38764 and 32.22542 and 40.99045 ,1 and 1 and 1 and 2 
MALTPTabcpp,Maltopentaose transport via ABC system (periplasm),b4033 and b4035 and b4032 and b4034,57.0134 and 40.99045 and 32.22542 and 43.38764 ,1 and 2 and 1 and 1 
