gene,GO,GO_fun,namespcae
b4260,GO:0043171,peptide catabolic process,biological_process
b4260,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
b2755,GO:0006281,DNA repair,biological_process
b2755,GO:0006974,cellular response to DNA damage stimulus,biological_process
b2755,GO:0043571,maintenance of CRISPR repeat elements,biological_process
b2755,GO:0051607,defense response to virus,biological_process
b2518,GO:0006163,purine nucleotide metabolic process,biological_process
b2518,GO:0006183,GTP biosynthetic process,biological_process
b2518,GO:0006220,pyrimidine nucleotide metabolic process,biological_process
b2518,GO:0006228,UTP biosynthetic process,biological_process
b2518,GO:0006241,CTP biosynthetic process,biological_process
b2518,GO:0009142,nucleoside triphosphate biosynthetic process,biological_process
b1531,GO:0006351,"transcription, DNA-templated",biological_process
b1531,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
b1531,GO:0045893,"positive regulation of transcription, DNA-templated",biological_process
b1531,GO:0046677,response to antibiotic,biological_process
b2328,GO:0000270,peptidoglycan metabolic process,biological_process
b2328,GO:0009252,peptidoglycan biosynthetic process,biological_process
b2328,GO:0042493,response to drug,biological_process
b1655,GO:0000270,peptidoglycan metabolic process,biological_process
b1655,GO:0009254,peptidoglycan turnover,biological_process
b1655,GO:0045227,capsule polysaccharide biosynthetic process,biological_process
b1655,GO:0071555,cell wall organization,biological_process
b2175,GO:0000270,peptidoglycan metabolic process,biological_process
b2175,GO:0009254,peptidoglycan turnover,biological_process
b2175,GO:0045227,capsule polysaccharide biosynthetic process,biological_process
b2175,GO:0071555,cell wall organization,biological_process
b1856,GO:0000270,peptidoglycan metabolic process,biological_process
b1856,GO:0000920,cell separation after cytokinesis,biological_process
b1856,GO:0001896,autolysis,biological_process
b1856,GO:0045227,capsule polysaccharide biosynthetic process,biological_process
b1856,GO:0071555,cell wall organization,biological_process
b0925,GO:0006508,proteolysis,biological_process
b0925,GO:0006974,cellular response to DNA damage stimulus,biological_process
b0925,GO:0008360,regulation of cell shape,biological_process
b0925,GO:0009252,peptidoglycan biosynthetic process,biological_process
b0925,GO:0043164,Gram-negative-bacterium-type cell wall biogenesis,biological_process
b0925,GO:0044036,cell wall macromolecule metabolic process,biological_process
b0925,GO:0071555,cell wall organization,biological_process
b1678,GO:0006508,proteolysis,biological_process
b1678,GO:0008360,regulation of cell shape,biological_process
b1678,GO:0009252,peptidoglycan biosynthetic process,biological_process
b1678,GO:0043164,Gram-negative-bacterium-type cell wall biogenesis,biological_process
b1678,GO:0044036,cell wall macromolecule metabolic process,biological_process
b1678,GO:0071555,cell wall organization,biological_process
b1677,GO:0030258,"lipid modification,",biological_process
b1326,GO:0009050,glycopeptide catabolic process,biological_process
b1326,GO:0009253,peptidoglycan catabolic process,biological_process
b1328,GO:0006351,"transcription, DNA-templated",biological_process
b1328,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
b1328,GO:0071978,bacterial-type flagellum-dependent swarming motility,biological_process
b1192,GO:0008360,regulation of cell shape,biological_process
b1192,GO:0009050,glycopeptide catabolic process,biological_process
b1192,GO:0009252,peptidoglycan biosynthetic process,biological_process
b1192,GO:0009254,peptidoglycan turnover,biological_process
b1192,GO:0071555,cell wall organization,biological_process
b1329,GO:0015031,protein transport,biological_process
b1329,GO:0042939,tripeptide transport,biological_process
b1329,GO:0055085,transmembrane transport,biological_process
b0433,GO:0000270,peptidoglycan metabolic process,biological_process
b0433,GO:0015835,peptidoglycan transport,biological_process
b0433,GO:0055085,transmembrane transport,biological_process
b2544,GO:0006006,glucose metabolic process,biological_process
b2544,GO:0006974,cellular response to DNA damage stimulus,biological_process
b2544,GO:0033499,galactose catabolic process via UDP-galactose,biological_process
b1855,GO:0009103,lipopolysaccharide biosynthetic process,biological_process
b1855,GO:0036104,Kdo2-lipid A biosynthetic process,biological_process
b2506,GO:0006974,"cellular response to DNA damage stimulus,",biological_process
b0687,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b0687,GO:0007062,sister chromatid cohesion,biological_process
b0687,GO:0032297,negative regulation of DNA-dependent DNA replication initiation,biological_process
b0687,GO:0051289,protein homotetramerization,biological_process
b0687,GO:0090143,nucleoid organization,biological_process
b1940,GO:0015031,protein transport,biological_process
b1940,GO:0044781,bacterial-type flagellum organization,biological_process
b1940,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process
b3724,GO:0001558,regulation of cell growth,biological_process
b3724,GO:0009267,cellular response to starvation,biological_process
b3724,GO:0009405,pathogenesis,biological_process
b3724,GO:0010629,negative regulation of gene expression,biological_process
b3724,GO:0016036,cellular response to phosphate starvation,biological_process
b3724,GO:0030643,cellular phosphate ion homeostasis,biological_process
b3724,GO:0032413,negative regulation of ion transmembrane transporter activity,biological_process
b3724,GO:0034605,cellular response to heat,biological_process
b3724,GO:0045936,negative regulation of phosphate metabolic process,biological_process
b3724,GO:0071236,cellular response to antibiotic,biological_process
b3724,GO:0071467,cellular response to pH,biological_process
b3724,GO:2000186,negative regulation of phosphate transmembrane transport,biological_process
b0853,GO:0009297,pilus assembly,biological_process
b0853,GO:0010212,response to ionizing radiation,biological_process
b0853,GO:0030308,negative regulation of cell growth,biological_process
b0853,GO:1900232,negative regulation of single-species biofilm formation on inanimate substrate,biological_process
b0853,GO:1902201,negative regulation of bacterial-type flagellum-dependent cell motility,biological_process
b0853,GO:1902208,regulation of bacterial-type flagellum assembly,biological_process
b0853,GO:1902209,negative regulation of bacterial-type flagellum assembly,biological_process
b3480,GO:0006974,"cellular response to DNA damage stimulus,",biological_process
b3477,GO:0035444,"nickel cation transmembrane transport,",biological_process
b3478,GO:0035444,"nickel cation transmembrane transport,",biological_process
b3476,GO:0015675,nickel cation transport,biological_process
b3476,GO:0015833,peptide transport,biological_process
b3476,GO:0050919,negative chemotaxis,biological_process
b3476,GO:0055085,transmembrane transport,biological_process
b1768,GO:0006769,nicotinamide metabolic process,biological_process
b1768,GO:0019363,pyridine nucleotide biosynthetic process,biological_process
b1768,GO:0019674,NAD metabolic process,biological_process
b0751,GO:0034258,"nicotinamide riboside transport,",biological_process
b2700,GO:0019363,"pyridine nucleotide biosynthetic process,",biological_process
b0931,GO:0009408,response to heat,biological_process
b0931,GO:0009435,NAD biosynthetic process,biological_process
b0931,GO:0019357,nicotinate nucleotide biosynthetic process,biological_process
b1991,GO:0009163,nucleoside biosynthetic process,biological_process
b1991,GO:0009236,cobalamin biosynthetic process,biological_process
b0639,GO:0006767,water-soluble vitamin metabolic process,biological_process
b0639,GO:0034355,NAD salvage,biological_process
b0639,GO:0034628,'de novo' NAD biosynthetic process from aspartate,biological_process
b1224,GO:0009061,anaerobic respiration,biological_process
b1224,GO:0042126,nitrate metabolic process,biological_process
b1224,GO:0042128,nitrate assimilation,biological_process
b1225,GO:0009061,anaerobic respiration,biological_process
b1225,GO:0042126,nitrate metabolic process,biological_process
b1225,GO:0042128,nitrate assimilation,biological_process
b1227,GO:0009061,anaerobic respiration,biological_process
b1227,GO:0019645,anaerobic electron transport chain,biological_process
b1227,GO:0042128,nitrate assimilation,biological_process
b1468,GO:0009061,anaerobic respiration,biological_process
b1468,GO:0019645,anaerobic electron transport chain,biological_process
b1468,GO:0042128,nitrate assimilation,biological_process
b1467,GO:0006974,cellular response to DNA damage stimulus,biological_process
b1467,GO:0009061,anaerobic respiration,biological_process
b1467,GO:0019645,anaerobic electron transport chain,biological_process
b1467,GO:0042128,nitrate assimilation,biological_process
b1466,GO:0042128,nitrate assimilation,biological_process
b1466,GO:0051131,chaperone-mediated protein complex assembly,biological_process
b1465,GO:0009061,anaerobic respiration,biological_process
b1465,GO:0019645,anaerobic electron transport chain,biological_process
b1465,GO:0042128,nitrate assimilation,biological_process
b2206,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,biological_process
b2206,GO:0009061,anaerobic respiration,biological_process
b2206,GO:0042128,nitrate assimilation,biological_process
b2203,GO:0009061,"anaerobic respiration,",biological_process
b1223,GO:0015706,nitrate transport,biological_process
b1223,GO:0015707,nitrite transport,biological_process
b1223,GO:0042128,nitrate assimilation,biological_process
b1223,GO:0098656,anion transmembrane transport,biological_process
b1469,GO:0015706,nitrate transport,biological_process
b1469,GO:0015707,nitrite transport,biological_process
b1469,GO:0042128,nitrate assimilation,biological_process
b4178,GO:0006351,"transcription, DNA-templated",biological_process
b4178,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b4178,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
b3366,GO:0009061,anaerobic respiration,biological_process
b3366,GO:0042128,nitrate assimilation,biological_process
b4070,GO:0019645,anaerobic electron transport chain,biological_process
b4070,GO:0042128,nitrate assimilation,biological_process
b4071,GO:0006807,nitrogen compound metabolic process,biological_process
b4071,GO:0019645,anaerobic electron transport chain,biological_process
b3365,GO:0009061,anaerobic respiration,biological_process
b3365,GO:0042128,nitrate assimilation,biological_process
b3367,GO:0015707,nitrite transport,biological_process
b3367,GO:0042128,nitrate assimilation,biological_process
b0450,GO:0006351,"transcription, DNA-templated",biological_process
b0450,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b0450,GO:0045848,positive regulation of nitrogen utilization,biological_process
b1988,GO:0006351,"transcription, DNA-templated",biological_process
b1988,GO:0042128,nitrate assimilation,biological_process
b1988,GO:0045892,"negative regulation of transcription, DNA-templated",biological_process
b1988,GO:0045893,"positive regulation of transcription, DNA-templated",biological_process
b4394,GO:0006772,thiamine metabolic process,biological_process
b4394,GO:0009117,nucleotide metabolic process,biological_process
b4394,GO:0046677,response to antibiotic,biological_process
b3641,GO:0000918,barrier septum site selection,biological_process
b3641,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b3641,GO:0010974,negative regulation of barrier septum assembly,biological_process
b3641,GO:0032272,negative regulation of protein polymerization,biological_process
b3641,GO:0043547,positive regulation of GTPase activity,biological_process
b1625,GO:0006351,"transcription, DNA-templated",biological_process
b1625,GO:0060566,"positive regulation of DNA-templated transcription, termination",biological_process
b1625,GO:1900232,negative regulation of single-species biofilm formation on inanimate substrate,biological_process
b0393,GO:0000018,regulation of DNA recombination,biological_process
b0393,GO:0006310,DNA recombination,biological_process
b2393,GO:0015858,nucleoside transport,biological_process
b2393,GO:0015861,cytidine transport,biological_process
b2393,GO:0015862,uridine transport,biological_process
b2393,GO:0015992,proton transport,biological_process
b2393,GO:1901642,nucleoside transmembrane transport,biological_process
b0411,GO:0006811,ion transport,biological_process
b0411,GO:0015858,nucleoside transport,biological_process
b0411,GO:0046718,viral entry into host cell,biological_process
b0411,GO:1901642,nucleoside transmembrane transport,biological_process
b2964,GO:0015860,purine nucleoside transmembrane transport,biological_process
b2964,GO:0015861,cytidine transport,biological_process
b2964,GO:0015862,uridine transport,biological_process
b2964,GO:0015864,pyrimidine nucleoside transport,biological_process
b2964,GO:0032238,adenosine transport,biological_process
b2964,GO:0072531,pyrimidine-containing compound transmembrane transport,biological_process
b2781,GO:0006203,dGTP catabolic process,biological_process
b2781,GO:0009267,cellular response to starvation,biological_process
b2781,GO:0046047,TTP catabolic process,biological_process
b2781,GO:0046052,UTP catabolic process,biological_process
b2781,GO:0046061,dATP catabolic process,biological_process
b2781,GO:0046076,dTTP catabolic process,biological_process
b2781,GO:0046081,dUTP catabolic process,biological_process
b0630,GO:0006464,cellular protein modification process,biological_process
b0630,GO:0009106,lipoate metabolic process,biological_process
b0630,GO:0009107,lipoate biosynthetic process,biological_process
b0630,GO:0009249,protein lipoylation,biological_process
b0630,GO:0010629,negative regulation of gene expression,biological_process
b3187,GO:0006744,ubiquinone biosynthetic process,biological_process
b3187,GO:0016094,polyprenol biosynthetic process,biological_process
b3498,GO:0006260,DNA replication,biological_process
b3498,GO:0006465,signal peptide processing,biological_process
b1246,GO:0015031,protein transport,biological_process
b1246,GO:0015833,peptide transport,biological_process
b1246,GO:0015834,peptidoglycan-associated peptide transport,biological_process
b1247,GO:0015031,protein transport,biological_process
b1247,GO:0015833,peptide transport,biological_process
b1243,GO:0006857,oligopeptide transport,biological_process
b1243,GO:0009408,response to heat,biological_process
b1243,GO:0015031,protein transport,biological_process
b1243,GO:0055085,transmembrane transport,biological_process
b1244,GO:0015031,protein transport,biological_process
b1244,GO:0035672,oligopeptide transmembrane transport,biological_process
b1244,GO:0042939,tripeptide transport,biological_process
b1245,GO:0015031,protein transport,biological_process
b1245,GO:0015833,peptide transport,biological_process
b1245,GO:0055085,transmembrane transport,biological_process
b4162,GO:0006259,DNA metabolic process,biological_process
b4162,GO:0006401,RNA catabolic process,biological_process
b4162,GO:0090305,nucleic acid phosphodiester bond hydrolysis,biological_process
b4162,GO:0090501,RNA phosphodiester bond hydrolysis,biological_process
b4162,GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",biological_process
b4254,GO:0000050,urea cycle,biological_process
b4254,GO:0042450,arginine biosynthetic process via ornithine,biological_process
b4254,GO:0044238,primary metabolic process,biological_process
b0273,GO:0000050,urea cycle,biological_process
b0273,GO:0006974,cellular response to DNA damage stimulus,biological_process
b0273,GO:0042450,arginine biosynthetic process via ornithine,biological_process
b0273,GO:0044238,primary metabolic process,biological_process
b0693,GO:0001101,response to acid chemical,biological_process
b0693,GO:0008295,spermidine biosynthetic process,biological_process
b0693,GO:0033387,putrescine biosynthetic process from ornithine,biological_process
b2965,GO:0008295,spermidine biosynthetic process,biological_process
b2965,GO:0033387,putrescine biosynthetic process from ornithine,biological_process
b3642,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,biological_process
b3642,GO:0006221,pyrimidine nucleotide biosynthetic process,biological_process
b3642,GO:0044205,'de novo' UMP biosynthetic process,biological_process
b1281,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,biological_process
b1281,GO:0006222,UMP biosynthetic process,biological_process
b1281,GO:0015949,nucleobase-containing small molecule interconversion,biological_process
b1281,GO:0044205,'de novo' UMP biosynthetic process,biological_process
b2082,GO:0006351,"transcription, DNA-templated",biological_process
b2082,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b1739,GO:0006970,"response to osmotic stress,",biological_process
b4080,GO:0015906,sulfathiazole transport,biological_process
b4080,GO:0046677,response to antibiotic,biological_process
b4080,GO:1902599,sulfathiazole transmembrane transport,biological_process
b1050,GO:0006974,"cellular response to DNA damage stimulus,",biological_process
b4149,GO:0006974,"cellular response to DNA damage stimulus,",biological_process
b3821,GO:0016042,"lipid catabolic process,",biological_process
b0241,GO:0006811,"ion transport,",biological_process
b1377,GO:0006811,ion transport,biological_process
b1377,GO:0034219,carbohydrate transmembrane transport,biological_process
b0929,GO:0006855,drug transmembrane transport,biological_process
b0929,GO:0034220,ion transmembrane transport,biological_process
b0929,GO:0043213,bacteriocin transport,biological_process
b1319,GO:0006811,ion transport,biological_process
b1319,GO:0034219,carbohydrate transmembrane transport,biological_process
b1319,GO:0055085,transmembrane transport,biological_process
b3875,GO:0006811,ion transport,biological_process
b3875,GO:0015751,arabinose transport,biological_process
b3875,GO:0015757,galactose transport,biological_process
b3875,GO:0046323,glucose import,biological_process
b3875,GO:0055085,transmembrane transport,biological_process
b2215,GO:0006811,ion transport,biological_process
b2215,GO:0006974,cellular response to DNA damage stimulus,biological_process
b0957,GO:0000746,conjugation,biological_process
b0957,GO:0006810,transport,biological_process
b0957,GO:0006811,ion transport,biological_process
b0957,GO:0006974,cellular response to DNA damage stimulus,biological_process
b0957,GO:0009597,detection of virus,biological_process
b0957,GO:0034220,ion transmembrane transport,biological_process
b0957,GO:0046718,viral entry into host cell,biological_process
b1117,GO:0042953,lipoprotein transport,biological_process
b1117,GO:0044874,lipoprotein localization to outer membrane,biological_process
b1117,GO:0089705,protein localization to outer membrane,biological_process
b2373,GO:0033611,oxalate catabolic process,biological_process
b2373,GO:0071468,cellular response to acidic pH,biological_process
b1387,GO:0010124,"phenylacetate catabolic process,",biological_process
b3961,GO:0006351,"transcription, DNA-templated",biological_process
b3961,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3961,GO:0006979,response to oxidative stress,biological_process
b3961,GO:0051409,response to nitrosative stress,biological_process
b3961,GO:2000142,"regulation of DNA-templated transcription, initiation",biological_process
b2962,GO:0034599,"cellular response to oxidative stress,",biological_process
b2212,GO:0006281,DNA repair,biological_process
b2212,GO:0006307,DNA dealkylation involved in DNA repair,biological_process
b2212,GO:0035552,oxidative single-stranded DNA demethylation,biological_process
b2212,GO:0035553,oxidative single-stranded RNA demethylation,biological_process
b2212,GO:0042245,RNA repair,biological_process
b2212,GO:0070989,oxidative demethylation,biological_process
b2212,GO:0080111,DNA demethylation,biological_process
b2922,GO:0006974,cellular response to DNA damage stimulus,biological_process
b2922,GO:0034605,cellular response to heat,biological_process
b2922,GO:0034614,cellular response to reactive oxygen species,biological_process
b4044,GO:0006855,"drug transmembrane transport,",biological_process
b0424,GO:0006357,regulation of transcription from RNA polymerase II promoter,biological_process
b0424,GO:0009408,response to heat,biological_process
b0424,GO:0019243,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,biological_process
b0424,GO:0019249,lactate biosynthetic process,biological_process
b0424,GO:0034599,cellular response to oxidative stress,biological_process
b0424,GO:0042026,protein refolding,biological_process
b0424,GO:0042254,ribosome biogenesis,biological_process
b0424,GO:0070301,cellular response to hydrogen peroxide,biological_process
b1185,GO:0009408,response to heat,biological_process
b1185,GO:0022900,electron transport chain,biological_process
b1589,GO:0009061,"anaerobic respiration,",biological_process
b1590,GO:0019645,"anaerobic electron transport chain,",biological_process
b1489,GO:0006351,"transcription, DNA-templated",biological_process
b1489,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b1489,GO:0070482,response to oxygen levels,biological_process
b1334,GO:0006351,"transcription, DNA-templated",biological_process
b1334,GO:0006355,"regulation of transcription, DNA-templated",biological_process
b1334,GO:0009061,anaerobic respiration,biological_process
b1334,GO:0071731,response to nitric oxide,biological_process
b1338,GO:0046657,"folic acid catabolic process,",biological_process
b1337,GO:0046657,"folic acid catabolic process,",biological_process
b1336,GO:0006865,amino acid transport,biological_process
b1336,GO:0015814,p-aminobenzoyl-glutamate transport,biological_process
b4040,GO:0006744,"ubiquinone biosynthetic process,",biological_process
b3241,GO:0006810,transport,biological_process
b3241,GO:0046942,carboxylic acid transport,biological_process
b3240,GO:0006810,transport,biological_process
b3240,GO:0046942,carboxylic acid transport,biological_process
b2378,GO:0009103,lipopolysaccharide biosynthetic process,biological_process
b2378,GO:0009245,lipid A biosynthetic process,biological_process
b2378,GO:0009409,response to cold,biological_process
b2378,GO:0036104,Kdo2-lipid A biosynthetic process,biological_process
b2473,GO:0002084,"protein depalmitoylation,",biological_process
b3634,GO:0015937,"coenzyme A biosynthetic process,",biological_process
b3974,GO:0015937,"coenzyme A biosynthetic process,",biological_process
b0133,GO:0033317,"pantothenate biosynthetic process from valine,",biological_process
b3258,GO:0015887,pantothenate transmembrane transport,biological_process
b3258,GO:0071436,sodium ion export,biological_process
b3322,GO:0006260,"DNA replication,",biological_process
b2430,GO:0006508,"proteolysis,",biological_process
b3396,GO:0006508,proteolysis,biological_process
b3396,GO:0008360,regulation of cell shape,biological_process
b3396,GO:0009252,peptidoglycan biosynthetic process,biological_process
b3396,GO:0046677,response to antibiotic,biological_process
b3396,GO:0071555,cell wall organization,biological_process
b0635,GO:0006508,proteolysis,biological_process
b0635,GO:0008360,regulation of cell shape,biological_process
b0635,GO:0009252,peptidoglycan biosynthetic process,biological_process
b0635,GO:0042493,response to drug,biological_process
b0635,GO:0046677,response to antibiotic,biological_process
b0635,GO:0071555,cell wall organization,biological_process
b4150,GO:0017001,antibiotic catabolic process,biological_process
b4150,GO:0046677,response to antibiotic,biological_process
b2519,GO:0008360,regulation of cell shape,biological_process
b2519,GO:0009252,peptidoglycan biosynthetic process,biological_process
b2519,GO:0051781,positive regulation of cell division,biological_process
b2519,GO:0071555,cell wall organization,biological_process
b3121,GO:0006974,"cellular response to DNA damage stimulus,",biological_process
b1127,GO:0006518,peptide metabolic process,biological_process
b1127,GO:0043171,peptide catabolic process,biological_process
b3932,GO:0009408,response to heat,biological_process
b3932,GO:0051603,proteolysis involved in cellular protein catabolic process,biological_process
b0377,GO:0015031,protein transport,biological_process
b0377,GO:0015833,peptide transport,biological_process
b0377,GO:0042884,microcin transport,biological_process
b0377,GO:0042885,microcin B17 transport,biological_process
b0377,GO:0046677,response to antibiotic,biological_process
b0377,GO:1901998,toxin transport,biological_process
b1211,GO:0006415,"translational termination,",biological_process
b2891,GO:0006415,"translational termination,",biological_process
b4375,GO:0006415,translational termination,biological_process
b4375,GO:0006449,regulation of translational termination,biological_process
b3287,GO:0006412,translation,biological_process
b3287,GO:0018206,peptidyl-methionine modification,biological_process
b3287,GO:0031365,N-terminal protein amino acid modification,biological_process
b3287,GO:0043686,co-translational protein modification,biological_process
b0741,GO:0051301,"cell division,",biological_process
b0053,GO:0000413,protein peptidyl-prolyl isomerization,biological_process
b0053,GO:0006457,protein folding,biological_process
b0053,GO:0015031,protein transport,biological_process
b0053,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,biological_process
b0053,GO:0044010,single-species biofilm formation,biological_process
b0053,GO:0050821,protein stabilization,biological_process
b0053,GO:0051085,chaperone mediated protein folding requiring cofactor,biological_process
b0053,GO:0060274,maintenance of stationary phase,biological_process
b3363,GO:0000413,protein peptidyl-prolyl isomerization,biological_process
b3363,GO:0006457,protein folding,biological_process
b0525,GO:0000413,protein peptidyl-prolyl isomerization,biological_process
b0525,GO:0006457,protein folding,biological_process
b3775,GO:0000413,"protein peptidyl-prolyl isomerization,",biological_process
b0436,GO:0000413,protein peptidyl-prolyl isomerization,biological_process
b0436,GO:0007049,cell cycle,biological_process
b0436,GO:0009408,response to heat,biological_process
b0436,GO:0015031,protein transport,biological_process
b0436,GO:0043335,protein unfolding,biological_process
b0436,GO:0051083,'de novo' cotranslational protein folding,biological_process
b0436,GO:0051301,cell division,biological_process
b0436,GO:0061077,chaperone-mediated protein folding,biological_process
b1204,GO:0006412,translation,biological_process
b1204,GO:0006515,misfolded or incompletely synthesized protein catabolic process,biological_process
b1307,GO:0009271,"phage shock,",biological_process
b1743,GO:0061077,chaperone-mediated protein folding,biological_process
b1743,GO:1990507,ATP-independent chaperone mediated protein folding,biological_process
b2957,GO:0006530,asparagine catabolic process,biological_process
b2957,GO:0051289,protein homotetramerization,biological_process
b0742,GO:0007049,cell cycle,biological_process
b0742,GO:0051260,protein homooligomerization,biological_process
b0742,GO:0051301,cell division,biological_process
b0742,GO:0070206,protein trimerization,biological_process
b4316,GO:0043711,pilus organization,biological_process
b4316,GO:0061077,chaperone-mediated protein folding,biological_process
b4316,GO:0071555,cell wall organization,biological_process
b0178,GO:0006457,protein folding,biological_process
b0178,GO:0022417,protein maturation by protein folding,biological_process
b0178,GO:0032978,protein insertion into membrane from inner side,biological_process
b0178,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,biological_process
b0178,GO:0050821,protein stabilization,biological_process
b0178,GO:0051085,chaperone mediated protein folding requiring cofactor,biological_process
b0178,GO:0065002,intracellular protein transmembrane transport,biological_process
b0573,GO:0006878,cellular copper ion homeostasis,biological_process
b0573,GO:0010043,response to zinc ion,biological_process
b0573,GO:0010272,response to silver ion,biological_process
b0573,GO:0010273,detoxification of copper ion,biological_process
b0573,GO:0046688,response to copper ion,biological_process
b3338,GO:0000272,polysaccharide catabolic process,biological_process
b3338,GO:0006032,chitin catabolic process,biological_process
b0441,GO:0015031,protein transport,biological_process
b0441,GO:0061077,chaperone-mediated protein folding,biological_process
b2239,GO:0006071,glycerol metabolic process,biological_process
b2239,GO:0006629,lipid metabolic process,biological_process
b2197,GO:0015886,heme transport,biological_process
b2197,GO:0018063,cytochrome c-heme linkage,biological_process
b1178,GO:0043086,"negative regulation of catalytic activity,",biological_process
b1532,GO:0046677,"response to antibiotic,",biological_process
b3199,GO:0015920,lipopolysaccharide transport,biological_process
b3199,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,biological_process
b3199,GO:0046836,glycolipid transport,biological_process
b2107,GO:0006974,cellular response to DNA damage stimulus,biological_process
b2107,GO:0010045,response to nickel cation,biological_process
b2107,GO:0032025,response to cobalt ion,biological_process
b2107,GO:1901652,response to peptide,biological_process
b3860,GO:0006457,protein folding,biological_process
b3860,GO:0045454,cell redox homeostasis,biological_process
b3860,GO:0055114,oxidation-reduction process,biological_process
b3860,GO:0071236,cellular response to antibiotic,biological_process
b0740,GO:0015031,protein transport,biological_process
b0740,GO:0017038,protein import,biological_process
b0740,GO:0043213,bacteriocin transport,biological_process
b0740,GO:0051301,cell division,biological_process
b0740,GO:0071237,cellular response to bacteriocin,biological_process
b0994,GO:0006810,"transport,",biological_process
b2195,GO:0017004,cytochrome complex assembly,biological_process
b2195,GO:0045454,cell redox homeostasis,biological_process
b2195,GO:0055114,oxidation-reduction process,biological_process
b1197,GO:0005993,trehalose catabolic process,biological_process
b1197,GO:0006974,cellular response to DNA damage stimulus,biological_process
b1197,GO:0071474,cellular hyperosmotic response,biological_process
b0006,GO:0033194,"response to hydroperoxide,",biological_process
b2480,GO:0006979,response to oxidative stress,biological_process
b2480,GO:0045454,cell redox homeostasis,biological_process
b0426,GO:0006974,"cellular response to DNA damage stimulus,",biological_process
b4050,GO:0009271,"phage shock,",biological_process
b1385,GO:0006559,L-phenylalanine catabolic process,biological_process
b1385,GO:0009435,NAD biosynthetic process,biological_process
b1385,GO:0046196,4-nitrophenol catabolic process,biological_process
b1398,GO:0010124,"phenylacetate catabolic process,",biological_process
b1714,GO:0006432,"phenylalanyl-tRNA aminoacylation,",biological_process
b1713,GO:0006432,phenylalanyl-tRNA aminoacylation,biological_process
b1713,GO:0008033,tRNA processing,biological_process
b0576,GO:0003333,amino acid transmembrane transport,biological_process
b0576,GO:0015807,L-amino acid transport,biological_process
b0576,GO:0015823,phenylalanine transport,biological_process
b0576,GO:1902475,L-alpha-amino acid transmembrane transport,biological_process
b1715,GO:0006355,"regulation of transcription, DNA-templated,",biological_process
b2542,GO:0019380,3-phenylpropionate catabolic process,biological_process
b2542,GO:0019439,aromatic compound catabolic process,biological_process
b2542,GO:0045454,cell redox homeostasis,biological_process
b1601,GO:0006810,transport,biological_process
b1601,GO:0009372,quorum sensing,biological_process
b1601,GO:0044010,single-species biofilm formation,biological_process
b1601,GO:0055085,transmembrane transport,biological_process
b4395,GO:0006096,glycolytic process,biological_process
b4395,GO:0016311,dephosphorylation,biological_process
b3725,GO:0006817,"phosphate ion transport,",biological_process
b3728,GO:0006817,phosphate ion transport,biological_process
b3728,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3728,GO:0016036,cellular response to phosphate starvation,biological_process
b3726,GO:0006817,phosphate ion transport,biological_process
b3726,GO:0006974,cellular response to DNA damage stimulus,biological_process
b3726,GO:0035435,phosphate ion transmembrane transport,biological_process
b3727,GO:0006817,phosphate ion transport,biological_process
b3727,GO:0035435,phosphate ion transmembrane transport,biological_process
b2458,GO:0009408,response to heat,biological_process
b2458,GO:0046336,ethanolamine catabolic process,biological_process
b2297,GO:0006083,acetate metabolic process,biological_process
b2297,GO:0019413,acetate biosynthetic process,biological_process
b2297,GO:0019427,acetyl-CoA biosynthetic process from acetate,biological_process
b2297,GO:0045733,acetate catabolic process,biological_process
b2297,GO:0070689,L-threonine catabolic process to propionate,biological_process
b4030,GO:0016036,"cellular response to phosphate starvation,",biological_process
b2987,GO:0035435,"phosphate ion transmembrane transport,",biological_process
b3493,GO:0015710,tellurite transport,biological_process
b3493,GO:0015992,proton transport,biological_process
b3493,GO:0035435,phosphate ion transmembrane transport,biological_process
b3493,GO:0071577,zinc II ion transmembrane transport,biological_process
b3493,GO:1901684,arsenate ion transmembrane transport,biological_process
b2086,GO:0008654,phospholipid biosynthetic process,biological_process
b2086,GO:0046834,lipid phosphorylation,biological_process
